"name", "shares", "value_of_shares_in_thousands_usd", "date_recorded"
"Wealth Architects LLC", 10546, 343, "12/31/2016"
"Ayalon Holdings Ltd.", 10530, 342, "12/31/2016"
"Intl Fcstone Inc.", 10489, 341, "12/31/2016"
"Tuttle Tactical Management LLC", 10527, 341, "12/31/2016"
"Cobiz Wealth LLC", 10425, 339, "12/31/2016"
"Hillsdale Investment Management Inc.", 10460, 339, "12/31/2016"
"Zevin Asset Management LLC", 10433, 339, "12/31/2016"
"AllSquare Wealth Management LLC", 10402, 338, "12/31/2016"
"Kinsight LLC", 10330, 336, "12/31/2016"
"Cornerstone Capital Inc.", 10320, 335, "12/31/2016"
"Royal Bank of Scotland Group PLC", 10325, 335, "12/31/2016"
"Donald L. Hagan LLC", 10324, 335, "12/31/2016"
"Whitnell & Co.", 10242, 333, "12/31/2016"
"Harwood Advisory Group LLC", 10251, 333, "12/31/2016"
"High Falls Advisors Inc", 10213, 332, "12/31/2016"
"Holt Capital Advisors L.L.C. dba Holt Capital Partners L.P.", 10180, 331, "12/31/2016"
"Jacobus Wealth Management Inc.", 10005, 325, "12/31/2016"
"Darrell & King LLC", 10000, 325, "12/31/2016"
"Hochman Cole Investment Advisors Inc.", 9980, 324, "12/31/2016"
"First Command Bank", 9954, 324, "12/31/2016"
"First Command Financial Services Inc.", 9954, 324, "12/31/2016"
"Eagle Ridge Investment Management", 9949, 323, "12/31/2016"
"LMR Partners LLP", 9871, 321, "12/31/2016"
"RB Capital Management LLC", 9869, 321, "12/31/2016"
"Navellier & Associates Inc", 9795, 318, "12/31/2016"
"Independence Trust CO", 9795, 318, "12/31/2016"
"Mcclain Value Management LLC", 9804, 318, "12/31/2016"
"Hanlon Investment Management Inc.", 9746, 317, "12/31/2016"
"Boothbay Fund Management LLC", 9736, 316, "12/31/2016"
"Schonfeld Strategic Advisors LLC", 9736, 316, "12/31/2016"
"Fayerweather Charles", 9675, 314, "12/31/2016"
"Verus Financial Partners Inc.", 9633, 313, "12/31/2016"
"PBWM Holdings LLC", 9645, 313, "12/31/2016"
"Glassman Wealth Services", 9605, 312, "12/31/2016"
"Kidder Stephen W", 9511, 309, "12/31/2016"
"InterOcean Capital LLC", 9524, 309, "12/31/2016"
"Loudon Investment Management LLC", 9395, 305, "12/31/2016"
"Rational Advisors LLC", 9067, 304, "12/31/2016"
"Haverford Financial Services Inc.", 9309, 302, "12/31/2016"
"Highland Private Wealth Management", 9302, 302, "12/31/2016"
"Gagnon Securities LLC", 9230, 300, "12/31/2016"
"Fenimore Asset Management Inc.", 9164, 298, "12/31/2016"
"Halbert Hargrove Russell LLC", 9178, 298, "12/31/2016"
"Northstar Group Inc.", 9182, 298, "12/31/2016"
"Coho Partners Ltd.", 9061, 294, "12/31/2016"
"Huff W R Asset Management Co. LLC DE", 9000, 292, "12/31/2016"
"Insight 2811 Inc.", 8995, 292, "12/31/2016"
"Cabot Wellington LLC", 9000, 292, "12/31/2016"
"Wimmer Associates 1 LLC", 9004, 292, "12/31/2016"
"Biegel & Waller LLC", 9306, 291, "12/31/2016"
"New York Life Trust Co.", 8885, 289, "12/31/2016"
"Parasol Investment Management LLC", 8885, 289, "12/31/2016"
"Lincoln Capital LLC", 8896, 289, "12/31/2016"
"McAdam LLC", 8886, 289, "12/31/2016"
"Fairview Capital Investment Management LLC", 8790, 285, "12/31/2016"
"Cypress Capital Management LLC WY", 8668, 285, "12/31/2016"
"Jaffetilchin Investment Partners LLC", 8756, 284, "12/31/2016"
"Greytown Advisors Inc.", 8731, 284, "12/31/2016"
"Barton Investment Management", 8700, 282, "12/31/2016"
"Gemmer Asset Management LLC", 8690, 282, "12/31/2016"
"Marietta Investment Partners LLC", 8664, 281, "12/31/2016"
"First Light Asset Management LLC", 8558, 278, "12/31/2016"
"Outfitter Advisors LTD.", 8530, 277, "12/31/2016"
"Forte Capital LLC ADV", 8523, 276, "12/31/2016"
"Charlemagne Capital Ltd.", 8466, 274, "12/31/2016"
"AMG National Trust Bank", 8422, 274, "12/31/2016"
"Cooke & Bieler LP", 8420, 273, "12/31/2016"
"First Commonwealth Financial Corp PA", 8319, 271, "12/31/2016"
"First Wilshire Securities Management Inc.", 8351, 271, "12/31/2016"
"Alpha Windward LLC", 8298, 270, "12/31/2016"
"Pictet North America Advisors SA", 8293, 269, "12/31/2016"
"Meridian Wealth Management LLC", 8364, 269, "12/31/2016"
"Copeland Capital Management LLC", 8262, 268, "12/31/2016"
"BKS Advisors LLC", 8237, 268, "12/31/2016"
"First United Bank Trust", 8231, 267, "12/31/2016"
"Kernodle & Katon Asset Management Group LLC", 8209, 267, "12/31/2016"
"First Hawaiian Bank", 8217, 266, "12/31/2016"
"Family Firm Inc.", 8200, 266, "12/31/2016"
"Daiwa SB Investments Ltd.", 8130, 264, "12/31/2016"
"Wallace Capital Management Inc.", 8124, 264, "12/31/2016"
"Front Street Capital Management Inc.", 7793, 264, "12/31/2016"
"Westend Capital Management LLC", 7755, 263, "09/30/2016"
"Empirical Financial Services LLC", 8044, 261, "12/31/2016"
"Reinhart Partners Inc.", 7975, 259, "12/31/2016"
"Family Management Corp", 7957, 258, "12/31/2016"
"Ronna Sue Cohen", 7955, 258, "12/31/2016"
"REDW Stanley Financial Advisors LLC", 7949, 258, "12/31/2016"
"Sunbelt Securities Inc.", 7880, 256, "12/31/2016"
"Edmond DE Rothschild Monaco", 7524, 255, "09/30/2016"
"Weatherstone Capital Management", 7807, 254, "12/31/2016"
"MV Capital Management Inc.", 7827, 254, "12/31/2016"
"Cabot Wealth Management Inc.", 7794, 253, "12/31/2016"
"Parkwood LLC", 7803, 253, "12/31/2016"
"Thompson Davis & CO. Inc.", 7754, 252, "12/31/2016"
"SPC Financial Inc.", 7771, 252, "12/31/2016"
"Sandler Capital Management", 7715, 251, "12/31/2016"
"Welch Group LLC", 7728, 251, "12/31/2016"
"Hartford Financial Management Inc.", 7703, 250, "12/31/2016"
"Bienville Capital Management LLC", 7703, 250, "12/31/2016"
"Cutler Investment Counsel LLC", 7648, 248, "12/31/2016"
"Tradewinds Capital Management LLC", 7615, 247, "12/31/2016"
"Puplava Financial Services Inc.", 7503, 244, "12/31/2016"
"Moreno Evelyn V", 7505, 244, "12/31/2016"
"ICICI Prudential Asset Management Co Ltd", 7500, 244, "12/31/2016"
"Alta Capital Management LLC", 7502, 243, "12/31/2016"
"West Coast Financial LLC", 7601, 242, "12/31/2016"
"Portfolio Solutions LLC", 7413, 241, "12/31/2016"
"Peachtree Investment Advisors Inc.", 7416, 241, "12/31/2016"
"Coconut Grove Bank", 7417, 241, "12/31/2016"
"Capital Counsel LLC NY", 7390, 240, "12/31/2016"
"Marathon Capital Management", 7414, 240, "12/31/2016"
"ELM Advisors LLC", 7352, 239, "12/31/2016"
"Beaumont Financial Partners LLC", 7343, 238, "12/31/2016"
"Macguire Cheswick & Tuttle Investment Counsel LLC", 7328, 238, "12/31/2016"
"Peregrine Asset Advisers Inc.", 7287, 237, "12/31/2016"
"Sawgrass Asset Management LLC", 7265, 236, "12/31/2016"
"American Trust Investment Advisors LLC", 7235, 235, "12/31/2016"
"Autus Asset Management LLC", 7208, 234, "12/31/2016"
"Terra Nova Asset Management LLC", 7200, 234, "12/31/2016"
"Stone House Investment Management LLC", 7098, 231, "12/31/2016"
"WealthTrust Arizona LLC", 7089, 230, "12/31/2016"
"GRATRY & Co LLC", 7040, 229, "12/31/2016"
"Bank of Stockton", 7055, 229, "12/31/2016"
"Paradigm Financial Advisors LLC", 7054, 229, "12/31/2016"
"Colony Group LLC", 7026, 228, "12/31/2016"
"Edmonds Duncan Registered Investment Advisors LLC", 7023, 228, "12/31/2016"
"B. Riley Financial Inc.", 6986, 227, "12/31/2016"
"Saratoga Research & Investment Management", 6970, 226, "12/31/2016"
"Salzhauer Michael", , 225, "12/31/2016"
"Shamrock Asset Management LLC", 6916, 225, "12/31/2016"
"Greatmark Investment Partners Inc.", 6883, 224, "12/31/2016"
"Alexandria Capital LLC", 6908, 224, "12/31/2016"
"JNBA Financial Advisors", 6854, 223, "12/31/2016"
"Total Investment Management Inc.", 6847, 222, "12/31/2016"
"BSC Private Wealth Management LLC", 6740, 222, "12/31/2016"
"Gateway Advisory LLC", 6815, 221, "12/31/2016"
"Long Road Investment Counsel LLC", 6788, 220, "12/31/2016"
"Spero Smith Investment Advisers Inc. OH", 6501, 220, "09/30/2016"
"Moon Capital Management LLC", 6737, 219, "12/31/2016"
"Granite Investment Advisors Inc.", 6756, 219, "12/31/2016"
"Chickasaw Capital Management LLC", 6725, 218, "12/31/2016"
"Paragon Capital Management LLC", 6732, 218, "12/31/2016"
"Heritage Wealth Advisors", 6706, 218, "12/31/2016"
"Cottage Street Advisors LLC", 6698, 218, "12/31/2016"
"Relative Value Partners Group LLC", 6656, 216, "12/31/2016"
"First National Bank of Hutchinson", 6639, 215, "12/31/2016"
"Marcus Capital LLC", 6625, 215, "12/31/2016"
"Chilton Investment Co. LLC", 6522, 212, "12/31/2016"
"Horan Capital Advisors LLC.", 6542, 212, "12/31/2016"
"Castleark Management LLC", 6500, 211, "12/31/2016"
"Perennial Advisors LLC", 6429, 209, "12/31/2016"
"Global X Management Co. LLC", 6413, 208, "12/31/2016"
"HPM Partners LLC", 6401, 208, "12/31/2016"
"Chase Investment Counsel Corp", 6385, 207, "12/31/2016"
"Hays Advisory LLC", 6365, 207, "12/31/2016"
"Blume Capital Management Inc.", 6374, 207, "12/31/2016"
"Diversified Portfolios Inc.", 6342, 206, "12/31/2016"
"Sfmg LLC", 6312, 205, "12/31/2016"
"Fort Point Capital Partners LLC", 6510, 205, "12/31/2016"
"Northwest Quadrant Wealth Management LLC", 6363, 205, "12/31/2016"
"B & T Capital Management DBA Alpha Capital Management", 6287, 204, "12/31/2016"
"Eubel Brady & Suttman Asset Management Inc.", 6237, 203, "12/31/2016"
"Capital City Trust Co. FL", 6199, 201, "12/31/2016"
"Hodges Capital Management Inc.", 6189, 201, "12/31/2016"
"Robinson Value Management Ltd.", 6199, 201, "12/31/2016"
"Kimelman & Baird LLC", 5933, 201, "09/30/2016"
"San Francisco Sentry Investment Group CA", 6152, 200, "12/31/2016"
"ClariVest Asset Management LLC", 5912, 192, "12/31/2016"
"TLP Group LLC", 5783, 188, "12/31/2016"
"Tortoise Investment Management LLC", 5766, 187, "12/31/2016"
"Pacific Center for Financial Services", 5741, 186, "12/31/2016"
"Veritas Investment Management LLP", 5650, 184, "12/31/2016"
"Kanaly Trust Co", 5632, 183, "12/31/2016"
"Armbruster Capital Management Inc.", 5570, 181, "12/31/2016"
"Saddle Road Partners LLC", 5492, 178, "12/31/2016"
"D Orazio & Associates Inc.", 5223, 170, "12/31/2016"
"Nelson Roberts Investment Advisors LLC", 5165, 168, "12/31/2016"
"Acropolis Investment Management LLC", 5151, 167, "12/31/2016"
"Cranbrook Wealth Management LLC", 5064, 164, "12/31/2016"
"Elite Wealth Management LLC", 4844, 164, "09/30/2016"
"First Washington CORP", 5000, 162, "12/31/2016"
"Balentine LLC", 4895, 159, "12/31/2016"
"Patten Group Inc.", 4929, 155, "12/31/2016"
"Elgethun Capital Management", , 154, "12/31/2016"
"Pinkerton Retirement Specialists LLC", 4605, 150, "12/31/2016"
"Cornerstone Advisors Inc.", 4558, 148, "12/31/2016"
"Signature Estate & Investment Advisors LLC", 4497, 146, "12/31/2016"
"Financial Management Professionals Inc.", 4524, 146, "12/31/2016"
"Risk Paradigm Group LLC", 4502, 146, "12/31/2016"
"Cable Hill Partners LLC", 4399, 143, "12/31/2016"
"Stanford Investment Group Inc.", 4329, 141, "12/31/2016"
"Lipe & Dalton", 4325, 141, "12/31/2016"
"MU Investments Co. Ltd.", 4280, 139, "12/31/2016"
"Live Your Vision LLC", 4190, 136, "12/31/2016"
"Jump Trading LLC", , 135, "12/31/2016"
"Billeaud Capital Management Inc.", 4092, 133, "12/31/2016"
"Veritas Investment Management UK Ltd", 4100, 133, "12/31/2016"
"Roble Belko & Company Inc", 3989, 130, "12/31/2016"
"Family Capital Trust Co", 3500, 114, "12/31/2016"
"Fusion Family Wealth LLC", 3355, 109, "12/31/2016"
"Riggs Asset Managment Co. Inc.", 3178, 103, "12/31/2016"
"Acrospire Investment Management LLC", 3100, 101, "12/31/2016"
"Americafirst Capital Management LLC", 3056, 99, "12/31/2016"
"NCM Capital Management Group Inc.", 2800, 95, "09/30/2016"
"Earnest Partners LLC", 2889, 94, "12/31/2016"
"Taylor Wealth Management Partners", 2905, 94, "12/31/2016"
"Empirical Finance LLC", 2816, 92, "12/31/2016"
"Asset Planning Services Ltd.", 2824, 92, "12/31/2016"
"Delphi Private Advisors LLC", 2776, 90, "12/31/2016"
"Orrstown Financial Services Inc.", 2663, 86, "12/31/2016"
"D. Scott Neal Inc.", 2608, 85, "12/31/2016"
"Lenox Wealth Management Inc.", 2506, 81, "12/31/2016"
"Hirtle Callaghan & Co LLC", 2378, 78, "12/31/2016"
"AlphaMark Advisors LLC", 2350, 76, "12/31/2016"
"Cascade Investment Advisors Inc.", 2269, 74, "12/31/2016"
"Barnett & Company Inc.", 2235, 73, "12/31/2016"
"QCI Asset Management Inc. NY", 2160, 70, "12/31/2016"
"Vestor Capital LLC", 2100, 68, "12/31/2016"
"RPg Family Wealth Advisory LLC", 2055, 67, "12/31/2016"
"Cowen Group Inc.", , 65, "12/31/2016"
"Thomas J. Herzfeld Advisors Inc.", 1992, 65, "12/31/2016"
"Cantab Capital Partners LLP", 1900, 62, "12/31/2016"
"Lenox Wealth Advisors Inc.", 1787, 58, "12/31/2016"
"Kemnay Advisory Services Inc.", 1500, 49, "12/31/2016"
"Isthmus Partners LLC", 1469, 48, "12/31/2016"
"Commonwealth Financial Services LLC", 1460, 46, "12/31/2016"
"Wealthcare Advisory Partners LLC", 1412, 46, "12/31/2016"
"Cordasco Financial Network", 1316, 43, "12/31/2016"
"Lagoda Investment Management L.P.", 1226, 40, "12/31/2016"
"Sharkey Howes & Javer", 1239, 40, "12/31/2016"
"Crow Point Partners LLC", 1029, 33, "12/31/2016"
"Smith Affiliated Capital Corp.", 1000, 32, "12/31/2016"
"Litman Gregory Asset Management LLC", 1000, 32, "12/31/2016"
"Benson Investment Management Company Inc.", 1000, 32, "12/31/2016"
"Financial Advisors Network Inc.", 1002, 31, "12/31/2016"
"Sprucegrove Investment Management Ltd.", 900, 29, "12/31/2016"
"Magellan Asset Management Ltd", 810, 26, "12/31/2016"
"CLS Investments LLC", 763, 25, "12/31/2016"
"Ironwood Financial llc", 752, 24, "12/31/2016"
"Winch Advisory Services LLC", 666, 22, "12/31/2016"
"Cedar Wealth Management LLC", 650, 21, "12/31/2016"
"Mitsubishi UFJ Securities Holdings Co. Ltd.", 510, 17, "12/31/2016"
"Lombard Odier Transatlantic Limited Partnership", 500, 17, "09/30/2016"
"Guidant Wealth Advisors", 500, 16, "12/31/2016"
"Massey Quick & Co. LLC", 500, 16, "12/31/2016"
"Lloyds Banking Group plc", 444, 14, "12/31/2016"
"Invictus RG", 418, 14, "12/31/2016"
"Wealthcare Capital Management LLC", 392, 13, "12/31/2016"
"Lowe fs LLC", 382, 12, "12/31/2016"
"CKW Financial Group", 380, 12, "12/31/2016"
"Butensky & Cohen Financial Security Inc.", 375, 12, "12/31/2016"
"Sun Life Financial INC", 262, 8, "12/31/2016"
"Macroview Investment Management LLC", 245, 8, "12/31/2016"
"Smith Asset Management Group LP", 78, 7, "12/31/2016"
"TD Capital Management LLC", 186, 6, "12/31/2016"
"Private Ocean LLC", 200, 6, "12/31/2016"
"Hefty Wealth Partners", 189, 6, "12/31/2016"
"Horrell Capital Management Inc.", 159, 5, "12/31/2016"
"C M Bidwell & Associates Ltd.", 112, 4, "12/31/2016"
"Contravisory Investment Management Inc.", 114, 4, "12/31/2016"
"Rocky Mountain Advisers LLC", 118, 4, "12/31/2016"
"CenterStar Fund LLC", , 4, "12/31/2016"
"America First Investment Advisors LLC", 100, 3, "12/31/2016"
"Rocky Mountain Private Wealth Management L.L.C.", 100, 3, "09/30/2016"
"Advocacy Wealth Management Services LLC", 30, 1, "12/31/2016"
"Highbridge Capital Management LLC", , -361, "12/31/2016"
"Wolverine Trading LLC", , -1030, "12/31/2016"
"Breton Hill Capital Ltd.", , -1279, "12/31/2016"
"Wolverine Asset Management LLC", , -1403, "12/31/2016"
"Capstone Investment Advisors LLC", , -1408, "12/31/2016"
"Two Sigma Investments LP", , -1750, "12/31/2016"
"CMT Capital Markets Trading GmbH", , -2278, "12/31/2016"
"Spot Trading L.L.C", , -3385, "12/31/2016"
"Laurion Capital Management LP", , -6400, "12/31/2016"
"Jane Street Group LLC", , -7684, "12/31/2016"
"Susquehanna International Group LLP", , -12728, "12/31/2016"
"Group One Trading L.P.", , -13762, "12/31/2016"
"Arrowgrass Capital Partners US LP", , -21523, "12/31/2016"
"Twin Tree Management LP", , -23536, "12/31/2016"
"Jefferies Group LLC", , -48418, "12/31/2016"
"Nomura Holdings Inc.", 1626308, -101116, "12/31/2016"
